,index,image_link,group_id,entity_name,OCR Text,prediction
21,21,https://m.media-amazon.com/images/I/21CxlWbim3L.jpg,751532,width,,38 inches
400,400,https://m.media-amazon.com/images/I/31E2Za-l0aL.jpg,667819,width,9,"The width of the object, which is a ruler, can be determined by looking at the scale provided. The ruler appears to span from approximately 15 centimeters to just past 16 centimeters on the right side where it's partially out of view. Since the exact end point isn't visible, we'll take the measurement as close to 16 centimeters as possible without speculation."
1162,1163,https://m.media-amazon.com/images/I/31o2ymMWD7L.jpg,375438,width,76cm,The width of the object in the image is 76 centimeters.
1660,1661,https://m.media-amazon.com/images/I/41+uKkKxF+L.jpg,362818,width,"12,5CM 15CM Qwetch Qwetch 340ML 600ML 260g 440g",The width of the object in the image is 15 cm.
1830,1833,https://m.media-amazon.com/images/I/41-VnfH5nJL.jpg,932012,width,1,25 1/2 inches
2303,2307,https://m.media-amazon.com/images/I/411FUpSWxjL.jpg,916768,width,90308 14TAL BOX&RD BRD L23089 Made In Engiand Boxed:0001,14 inches
2975,2980,https://m.media-amazon.com/images/I/413ng0lEOAL.jpg,478357,width,12.Inch 12.Inch,"The width of the object in the image is indicated as 12 inches. This measurement refers to the diameter of the tabletop, which appears to be a circular shape with an even distribution around its circumference."
3212,3218,https://m.media-amazon.com/images/I/414qhF0VnkL.jpg,675317,width,4.5CM 9CM 9CM,"The width of the object, as indicated in the image, is 4.5 cm."
4515,4524,https://m.media-amazon.com/images/I/419umhsS+tL.jpg,425150,width,H =97 CMI ACL ASSORTED COLLECTIONS LTD.,"The width of the object, as indicated in the image, is not explicitly provided. The measurement given is for height (H), which is 97 cm. To determine the width, one would typically need to measure across the base or a section of the handle, but such measurements are not visible in this image. Therefore, based on the information available, I cannot accurately provide the width of the object."
5371,5381,https://m.media-amazon.com/images/I/41CsABMWLOL.jpg,276611,width,26.8ln 15.7ln 44.1ln,The width of the object in the image is 44.1 inches.
5825,5835,https://m.media-amazon.com/images/I/41EPT1e-+qL.jpg,453674,width,18.5CM 4L 20CM,The width of the object in the image is 20 centimeters.
6459,6469,https://m.media-amazon.com/images/I/41GeqKvv23L.jpg,949192,width,9.8 IN,The width of the object in the image is 9.8 inches.
6927,6937,https://m.media-amazon.com/images/I/41IPPnBLk5S.jpg,347404,width,105cm weight: 112g,"The width of the object in the image is not directly measurable from the provided information. The dimensions given are for the height and weight, which do not include the width measurement. To determine the width, one would need additional perspective or a side view that includes the full span of the macramé plant hanger."
7342,7352,https://m.media-amazon.com/images/I/41Jjp1ApmAL.jpg,442321,width,Amax 18 min 4.3 21.7 32.3,32.3 inches
7591,7601,https://m.media-amazon.com/images/I/41Kkhpnh+OL.jpg,764417,width,CuraActive PORTATA 120KG ALTEZZA 10CM FACILE PULIZIA,"The width of the object in the image is not directly measurable from the provided information. The dimensions given are for height and weight capacity, which do not specify the width. To determine the width, one would typically need a reference scale or additional measurements that are not available in this single image."
7765,7775,https://m.media-amazon.com/images/I/41LFZLoydRL.jpg,792578,width,,140 cm
8262,8272,https://m.media-amazon.com/images/I/41Mt-SM0iGL.jpg,944936,width,SMOOTH MATTE FINISH - THICK 66 1/4 100lb. PAPER 6 A6 V 45/8 HIGH QUALITY CARDSTOCK,"4 5/8"""
8438,8448,https://m.media-amazon.com/images/I/41NYL0dFaYL.jpg,145452,width,"22CM 18,5 CM Qwetch Qwetch 320ML 430ML 450g 560g","The width of the object in the image is not directly provided with units. However, if we assume that the height measurements given are for the full capacity of each container and considering the standard dimensions for such containers, we can infer that the width might be approximately 1/4 to 1/3 of the height, which would typically range from around 4.5 cm to 7.2 cm. Without specific measurements or a reference scale, an exact value cannot be determined solely from this image."
8875,8886,https://m.media-amazon.com/images/I/41P9rZcIO1L.jpg,653767,width,SIZE S1ZE:45*45CM 45CM 45CM *Please allow 1~2cm deviation because of hand-cutting and sewing.,45cm
9079,9090,https://m.media-amazon.com/images/I/41PyrsS6aHL.jpg,731252,width,OFXDP Made in Ukraine 4.92 INCHES 2.95 INCHES,4.92 inches
9667,9678,https://m.media-amazon.com/images/I/41S+NtGA8mL.jpg,801829,width,36.2 35.8 32.3,"35.8"""
9858,9869,https://m.media-amazon.com/images/I/41SdsiLLjsS.jpg,970563,width,3/8 High : 12,"3/8"""
10962,10974,https://m.media-amazon.com/images/I/41Wl8ijsIXL.jpg,667819,width,16.5CM 6 7CM,7CM
11501,11513,https://m.media-amazon.com/images/I/41YcGFUh2LL.jpg,995842,width,,"The width of the object, which is a caliper in this case, can be read from the scale on its jaws. The scale markings indicate that the width is approximately 10 millimeters."
11844,11856,https://m.media-amazon.com/images/I/41ZsXkHEA0L.jpg,452717,width,height: 8.27* length: 15.75,8.27 inches
12082,12094,https://m.media-amazon.com/images/I/41ajI0BQmKL.jpg,658892,width,20.5CM 7CM,7cm
12198,12210,https://m.media-amazon.com/images/I/41b4Vn-oxrL.jpg,208023,width,DIMENSIONS A PICTURE PEREECT FITFOR YOUR 4X6 PHOTOS,4 inches
12582,12594,https://m.media-amazon.com/images/I/41cVjq9a3qL.jpg,640408,width,17 CM 14 CM,14 cm
12965,12977,https://m.media-amazon.com/images/I/41dvJhlfUmS.jpg,776058,width,21-Feb,2 1/2 inches
13166,13178,https://m.media-amazon.com/images/I/41ecPXTfpfL.jpg,893692,width,amazon basics Protective extra-thick ABS hard shell with scratch resistant finish Telescoping handle and 4 double spinner wheels ensure smooth-rolling mobility Expandable to include up to 15% more packing space when needed Orange 21-inch,21 inches
13222,13234,https://m.media-amazon.com/images/I/41etXDVYYoL.jpg,460806,width,ISIN TRUE CIKOR HD Polarizer 100x100rnrn,100mm
13302,13314,https://m.media-amazon.com/images/I/41fDP-osjDL.jpg,988675,width,11,2.1 cm
13334,13346,https://m.media-amazon.com/images/I/41fL2DNIzBL.jpg,965725,width,8 CM 7 CM,"The width of the object in the image, as indicated by the yellow measurement line, is 7 cm."
13365,13377,https://m.media-amazon.com/images/I/41fSfX9HkpL.jpg,276611,width,201/2 in Minimum Cabinet Opening,20 1/2 inches
13493,13505,https://m.media-amazon.com/images/I/41ftfG7eCJL.jpg,113134,width,PRODUCTINFORMATION 5.5CM 11.5CM 7.5CM,5.5CM
13521,13533,https://m.media-amazon.com/images/I/41g+czTZdPL.jpg,866516,width,26 CM 17 CM,17 CM
14138,14150,https://m.media-amazon.com/images/I/41iPTKDTtWL.jpg,679049,width,"CSIZE MEDIUM ARM 9.13""","The width of the object in the image is 9.13 inches, as indicated by the measurement provided alongside the object. This dimension refers to the horizontal span across the base and the arm of the clamp-like device."
14662,14674,https://m.media-amazon.com/images/I/41kKtHhvSBL.jpg,658003,width,High And Diameter. 35.45H/15.76D 29.55H/14.18D 23.64H/13D,"The width of the object in the image is 15.76 inches, as indicated by the measurement provided for the tallest cylinder."
14669,14681,https://m.media-amazon.com/images/I/41kMWkWEVHL.jpg,569206,width,"10.3"" 48.56 11 10.3","10.3"""
14733,14745,https://m.media-amazon.com/images/I/41keKUBKx5L.jpg,789706,width,8.5MM x12PCS,8.5MM
14736,14748,https://m.media-amazon.com/images/I/41kfKYoOsKL.jpg,178778,width,4.5 in 11.cm mofusand,4.5 in
14914,14926,https://m.media-amazon.com/images/I/41lKQy3QsCL.jpg,571756,width,"Rheem 20.75"" 9.4' 13.5'","13.5"""
15643,15658,https://m.media-amazon.com/images/I/41o30ZPcxSL.jpg,460806,width,Nisi S+,49 mm
15949,15965,https://m.media-amazon.com/images/I/41pCTQeWDDL.jpg,365756,width,"9.5"" CORKCICLE 4.5""",The width of the object in the image is 4.5 inches.
15950,15966,https://m.media-amazon.com/images/I/41pCTQeWDDL.jpg,365756,width,"9.5"" CORKCICLE 4.5""",The width of the object in the image is 4.5 inches.
